pitcher_name,country,game_date,pitch_type,pitch_name,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,p_throws,stand,balls,strikes,description
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.8,2631.0,1.19,0.05,-0.2022222235697257,2.402055345763752,R,L,3,1,hit_into_play
Zack Wheeler,USA,2025-08-10,FC,Cutter,90.2,2559.0,0.04,0.52,1.353557297280942,2.875017501339242,R,L,2,1,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.1,2390.0,-1.08,1.13,0.5932111454890256,2.741308393970436,R,L,2,0,called_strike
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,85.7,1364.0,-0.8,-0.34,1.024226886533833,0.5120468212958769,R,L,1,0,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.3,2320.0,-0.93,1.0,-0.3805733124331614,4.198732422520285,R,L,0,0,ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.1,1480.0,-1.0,0.04,-0.1364020345066058,1.7974490278885251,R,R,2,2,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.4,2405.0,-1.07,0.96,0.7884209569312,3.788063962190164,R,R,1,2,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.6,2618.0,1.59,0.11,2.967671235372184,1.0233367842527326,R,R,0,2,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.7,2328.0,-0.81,1.23,0.2780151263375634,2.8873044005128703,R,R,0,2,foul
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.5,1386.0,-0.74,-0.28,0.0274936011236502,1.4675340827702668,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.1,2440.0,-0.92,1.17,0.2726436274760188,2.1913730946894647,R,R,0,0,foul
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.7,2672.0,1.23,-0.11,0.3823109292436919,1.7616472993367465,R,R,0,0,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.8,2514.0,-0.69,1.15,1.6183829697237986,2.6802833537952986,R,L,3,0,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.7,2516.0,-1.09,1.25,-1.1955556374369534,3.2882082906403056,R,L,2,0,ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.8,1170.0,-0.94,0.09,-1.123309693972021,1.752520073454912,R,L,1,0,ball
Zack Wheeler,USA,2025-08-10,CU,Curveball,78.5,2736.0,0.89,-1.0,0.4287085613330478,-0.257178618596765,R,L,0,0,blocked_ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,84.3,1351.0,-1.04,-0.19,-0.3524005215127099,2.0506535328172832,R,R,0,2,swinging_strike
Zack Wheeler,USA,2025-08-10,SI,Sinker,92.0,2248.0,-1.24,0.57,-0.4634573733017477,2.340580731050568,R,R,0,1,foul_tip
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.9,2601.0,1.06,0.05,0.9643794192660596,0.8668386065885585,R,R,0,0,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,95.2,2426.0,-1.08,1.05,1.1080307314245172,2.8514232216109336,R,L,3,2,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,82.6,2631.0,1.54,-0.05,0.3784334229420403,0.8461184372978714,R,L,2,2,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.4,2348.0,-0.82,1.32,-0.3164515474122623,3.805609455230617,R,L,2,2,foul
Zack Wheeler,USA,2025-08-10,SI,Sinker,93.7,2173.0,-1.48,0.36,0.1150455374869436,2.3741467361323547,R,L,2,2,foul
Zack Wheeler,USA,2025-08-10,FC,Cutter,89.3,2505.0,0.3,0.52,0.5014443359964532,3.1185624240679246,R,L,2,2,foul
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,86.0,1437.0,-1.08,-0.02,-0.3654676575604527,1.0056543006470005,R,L,2,1,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.5,2390.0,-0.83,1.22,0.3027684484243415,3.1737933797103515,R,L,2,0,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.7,2376.0,-0.74,1.25,0.760229164055442,4.345584078742855,R,L,1,0,ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,85.8,1477.0,-1.05,-0.03,0.0694580844260008,0.7049176195326914,R,L,0,0,ball
Zack Wheeler,USA,2025-08-10,FS,Split-Finger,85.7,1427.0,-0.77,-0.07,-0.2571701101814972,1.7334816532008048,R,L,0,1,hit_into_play
Zack Wheeler,USA,2025-08-10,FC,Cutter,90.0,2420.0,-0.2,0.5,0.1843106522807154,2.4231163002886325,R,L,0,0,called_strike
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.1,2692.0,1.22,0.32,0.7719176012671763,1.4076944247966403,R,R,0,2,swinging_strike
Zack Wheeler,USA,2025-08-10,SI,Sinker,91.6,2130.0,-1.66,0.26,-0.7866394246468638,2.195306145076401,R,R,0,1,swinging_strike
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.7,2609.0,0.95,0.34,-0.3961297637640231,2.509506313502602,R,R,0,0,called_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.3,2438.0,-0.91,0.87,-0.1650747242275425,3.387362340950397,R,R,3,2,swinging_strike
Zack Wheeler,USA,2025-08-10,ST,Sweeper,80.4,2642.0,1.35,0.2,-0.7567292217141521,2.2131248300589883,R,R,3,1,called_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.8,2422.0,-0.7,1.07,0.1221433039313872,2.6683691736907664,R,R,3,0,called_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.1,2456.0,-0.53,0.93,1.3985511224106977,2.493856784684474,R,R,2,0,ball
Zack Wheeler,USA,2025-08-10,SI,Sinker,92.9,2106.0,-1.48,0.61,-1.2738793570792772,2.326974383601524,R,R,1,0,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.2,2415.0,-0.72,0.94,0.782601339805344,3.58926064180898,R,R,0,0,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.8,2771.0,1.45,-0.2,0.889356093695995,0.8056295079012239,R,L,2,2,swinging_strike_blocked
Zack Wheeler,USA,2025-08-10,CU,Curveball,79.6,2752.0,0.81,-1.12,1.7939498869954402,-0.170022951857371,R,L,1,2,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.7,2555.0,-0.94,1.22,0.9877978033162832,2.6074716973454355,R,L,0,2,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,93.6,2486.0,-0.85,1.28,0.7165968935161587,3.246088337503905,R,L,0,1,called_strike
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.4,2609.0,1.09,0.08,0.6903417934478774,1.2739561117381355,R,L,0,0,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.3,2591.0,-0.82,1.21,0.4347737419345008,2.9069267999707904,R,R,1,0,hit_into_play
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.7,2702.0,1.37,-0.09,1.0132031624069888,1.190010605462152,R,R,0,0,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,82.4,2808.0,1.2,0.09,0.5502021382838318,2.290118190711473,R,R,0,1,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,95.5,2558.0,-0.92,0.94,0.2293612081957186,2.692036030578437,R,R,0,0,called_strike
Zack Wheeler,USA,2025-08-10,FC,Cutter,89.4,2569.0,0.06,0.33,0.1540160068297605,1.7304235118423832,R,L,3,1,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.2,2468.0,-0.97,1.15,0.4122125039280706,3.65627419037628,R,L,2,1,ball
Zack Wheeler,USA,2025-08-10,FC,Cutter,88.2,2599.0,0.11,0.31,0.2624715352743483,1.2580048830679025,R,L,2,0,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.4,2391.0,-1.06,1.11,-1.2989764685955554,3.901241216043911,R,L,1,0,ball
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.8,2459.0,-0.97,1.15,-1.294908450972252,2.5049255732153908,R,L,0,0,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,82.6,2582.0,1.21,0.2,0.7686788922781772,2.8106234354718778,R,R,3,2,hit_into_play
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,95.0,2422.0,-0.92,1.15,-0.3529580243798496,2.8967786992946563,R,R,3,2,foul
Zack Wheeler,USA,2025-08-10,SI,Sinker,94.1,2243.0,-1.4,0.46,1.1606829774521863,3.0845690822681098,R,R,2,2,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,82.1,2778.0,1.46,-0.05,1.8668858763786331,1.869205162441004,R,R,1,2,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,80.2,2612.0,1.6,-0.21,0.0618363267874817,1.3152376334466154,R,R,1,1,swinging_strike
Zack Wheeler,USA,2025-08-10,FF,4-Seam Fastball,94.1,2499.0,-0.63,1.26,2.229373363825018,2.547781714089585,R,R,0,1,ball
Zack Wheeler,USA,2025-08-10,ST,Sweeper,81.8,2812.0,1.65,-0.22,0.6299822957286705,1.5644158599815827,R,R,0,0,called_strike
